family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_n2_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,31.12207529048943,211.7867500451093,211.7867500451093,22.215210782418715,49.33483213003439,n2_ions,N₂⁺,5,100
injection_n2_ions_s10x10,0,0.0,52083,99988,99988,99988,0.5208925071008521,1.0,8.78566767686487,9.98184665832871,56.95916252111661,470.62750481736464,548.3191103518072,57.834355222312816,142.4074263438608,n2_ions,N₂⁺,5,500
injection_n2_ions_s10x10,200,0.02,52117,99988,99988,99988,0.5212325479057487,1.0,8.786938199552267,9.98184665832871,56.964620611025744,470.68218497922203,548.2874844155424,57.799290097735145,144.6335736549421,n2_ions,N₂⁺,5,500
injection_n2_ions_s10x10,1000,0.1,52931,99988,99988,99988,0.5293735248229787,1.0,8.862885776510957,9.98184665832871,57.07243149195878,471.76225447561217,543.9486294996168,57.997151939873035,138.8303178323433,n2_ions,N₂⁺,5,500
injection_n2_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,20.996906590107812,110.350923118903,110.350923118903,11.896121728590007,30.345383816955398,n2_ions,N₂⁺,10,100
injection_n2_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,20.98612693356709,110.24293051082452,110.24293051082452,11.884824108558066,30.316133155588105,n2_ions,N₂⁺,10,100
injection_n2_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,20.729593212100724,107.67292788258023,107.67292788258023,11.615833167381227,29.619042486021797,n2_ions,N₂⁺,10,100
injection_n2_ions_s10x10,0,0.0,77025,99988,99988,99988,0.7703424410929312,1.0,9.626393917326903,9.98184665832871,53.90048584597984,439.98511188314086,459.9239581185469,54.81530849756916,138.14310020425592,n2_ions,N₂⁺,10,500
injection_n2_ions_s10x10,200,0.02,77049,99988,99988,99988,0.7705824698963876,1.0,9.627768088528931,9.98184665832871,53.891747657922814,439.89757108677196,459.7532799126362,54.77207083430298,137.3252380767518,n2_ions,N₂⁺,10,500
injection_n2_ions_s10x10,1000,0.1,77973,99988,99988,99988,0.7798235788294595,1.0,9.658006134732105,9.98184665832871,54.04723997708389,441.4553221170518,459.61074390623236,54.91177178772098,139.01528794465258,n2_ions,N₂⁺,10,500
